symbol,side,value,price,quantity,timestamp,_exchange,exchange,coin,size,value_usd,address,pnl,order_type,avg_price,order_status
BTC,SHORT,2016272.71,72311.9,27.883,1773610669944,bybit,,,,,,,,,
BTC,SHORT,362354.5,72470.9,5.0,1773610670444,bybit,,,,,,,,,
BTC,SHORT,87227.42,72387.9,1.205,1773610669445,bybit,,,,,,,,,
BTC,SHORT,72418.6,72418.6,1.0,1773610669445,bybit,,,,,,,,,
BTC,SHORT,65520.46,72398.3,0.905,1773610669445,bybit,,,,,,,,,
BTC,SHORT,63126.19,71960.0,0.87724,1773610636339,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,54319.73,71960.0,0.75486,1773610633802,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,49997.09,71960.0,0.69479,1773610636339,hyperliquid,hyperliquid,,,,,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,,BTC,0.681,49141.64,0x24543897...,-587.02,,,
BTC,SHORT,49141.64,72161.0,0.681,1773610673758,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,36254.85,72509.7,0.5,1773610671444,bybit,,,,,,,,,
BTC,SHORT,34441.65,72356.4,0.476,1773610669445,bybit,,,,,,,,,
BTC,SHORT,33750.68,71960.0,0.46902,1773610636339,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,30005.88,71960.0,0.41698,1773610636339,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,28946.0647,72184.7,0.401,1773610414072,binance,,,,,,,LIMIT,71900.0,FILLED
BTC,SHORT,28946.06,72184.7,0.401,1773610414072,binance,binance,,,,,,,,
,short,,72257.0,,2026-03-15T21:37:49.880000,hyperliquid,,BTC,0.395,28541.52,0xaa2b7a66...,-434.11,,,
BTC,SHORT,28541.52,72257.0,0.395,1773610669880,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,27248.98,72470.7,0.376,1773610670444,bybit,,,,,,,,,
BTC,SHORT,23635.62,71983.0,0.32835,1773610663739,hyperliquid,hyperliquid,,,,,,,,
,short,,72257.0,,2026-03-15T21:37:49.880000,hyperliquid,,BTC,0.3245,23447.4,0xfd1987b5...,-279.17,,,
BTC,SHORT,23447.4,72257.0,0.3245,1773610669880,hyperliquid,hyperliquid,,,,,,,,
BTC-USD,SHORT,21440.0,72184.0,214.4,1773610671739,okx,,,,,,,,,
BTC,SHORT,20871.43,72257.0,0.28885,1773610669880,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,18165.1,72370.9,0.251,1773610669445,bybit,,,,,,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,,BTC,0.23444,16917.42,0x24543897...,-202.09,,,
BTC,SHORT,16917.42,72161.0,0.23444,1773610673758,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,16788.17,72362.8,0.232,1773610669944,bybit,,,,,,,,,
BTC,SHORT,16660.35,72436.3,0.23,1773610670444,bybit,,,,,,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,,BTC,0.22382,16151.08,0x24543897...,-192.93,,,
BTC,SHORT,16151.08,72161.0,0.22382,1773610673758,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,16142.52,72388.0,0.223,1773610669445,bybit,,,,,,,,,
BTC,SHORT,14999.34,71960.0,0.20844,1773610636339,hyperliquid,hyperliquid,,,,,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,,BTC,0.20745,14969.8,0x24543897...,-178.82,,,
BTC,SHORT,14969.8,72161.0,0.20745,1773610673758,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,14478.26,72391.3,0.2,1773610670444,bybit,,,,,,,,,
BTC,SHORT,13980.13,72435.9,0.193,1773610670944,bybit,,,,,,,,,
BTC,SHORT,13849.66,72511.3,0.191,1773610671944,bybit,,,,,,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,,BTC,0.18884,13626.88,0x24543897...,-162.78,,,
BTC,SHORT,13626.88,72161.0,0.18884,1773610673758,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,12894.51,71960.0,0.17919,1773610636339,hyperliquid,hyperliquid,,,,,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,,BTC,0.15988,11537.1,0x24543897...,-137.82,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,,BTC,0.15988,11537.1,0x24543897...,-137.82,,,
BTC,SHORT,11537.1,72161.0,0.15988,1773610673758,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,11537.1,72161.0,0.15988,1773610673758,hyperliquid,hyperliquid,,,,,,,,
BTC-USD,SHORT,11510.0,72176.8,115.1,1773610670978,okx,,,,,,,,,
,short,,72257.0,,2026-03-15T21:37:49.880000,hyperliquid,,BTC,0.14317,10345.03,0xe934e9a7...,-265.58,,,
BTC,SHORT,10345.03,72257.0,0.14317,1773610669880,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,9696.44,72361.5,0.134,1773610669944,bybit,,,,,,,,,
BTC,SHORT,9626.99,72383.4,0.133,1773610670444,bybit,,,,,,,,,
BTC,SHORT,8173.82,72334.7,0.113,1773610659444,bybit,,,,,,,,,
BTC,SHORT,8100.46,72325.5,0.112,1773610659945,bybit,,,,,,,,,
BTC,SHORT,7491.76,71960.0,0.10411,1773610636339,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,7250.65,72506.5,0.1,1773610670944,bybit,,,,,,,,,
BTC,SHORT,7192.28,71922.8,10.0,1773610438353,okx,,,,,,,,,
BTC,SHORT,6576.52,72269.4,0.091,1773610419944,bybit,,,,,,,,,
,short,,72257.0,,2026-03-15T21:37:49.880000,hyperliquid,,BTC,0.08978,6487.23,0xdadef89e...,-149.75,,,
BTC,SHORT,6487.23,72257.0,0.08978,1773610669880,hyperliquid,hyperliquid,,,,,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,,BTC,0.08914,6432.43,0x6241d91f...,-75.41,,,
BTC,SHORT,6432.43,72161.0,0.08914,1773610673758,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,6088.64,72483.8,0.084,1773610670944,bybit,,,,,,,,,
BTC,SHORT,5791.86,72398.2,0.08,1773610669445,bybit,,,,,,,,,
BTC,SHORT,5580.06,72468.3,0.077,1773610670444,bybit,,,,,,,,,
,short,,72257.0,,2026-03-15T21:37:49.880000,hyperliquid,,BTC,0.07622,5507.43,0x9262b6b3...,-76.6,,,
BTC,SHORT,5507.43,72257.0,0.07622,1773610669880,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,5504.06,72421.9,0.076,1773610669445,bybit,,,,,,,,,
,short,,72257.0,,2026-03-15T21:37:49.880000,hyperliquid,,BTC,0.0748,5404.82,0xb154ab6d...,-121.19,,,
BTC,SHORT,5404.82,72257.0,0.0748,1773610669880,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,5075.76,72510.9,0.07,1773610670944,bybit,,,,,,,,,
BTC,SHORT,4981.07,71960.0,0.06922,1773610636339,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,4832.11,71960.0,0.06715,1773610633802,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,4810.15,72257.0,0.06657,1773610669880,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,4780.93,72438.4,0.066,1773610670444,bybit,,,,,,,,,
BTC,SHORT,4749.36,71960.0,0.066,1773610636339,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,4416.5,72401.6,0.061,1773610669445,bybit,,,,,,,,,
BTC,SHORT,4117.51,72237.0,0.057,1773610473560,binance,binance,,,,,,,,
,short,,72257.0,,2026-03-15T21:37:49.880000,hyperliquid,,BTC,0.05147,3719.07,0x63e68120...,-51.11,,,
BTC,SHORT,3719.07,72257.0,0.05147,1773610669880,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,3614.28,72285.6,0.05,1773610669944,bybit,,,,,,,,,
BTC,SHORT,3610.31,72206.1,5.0,1773610417390,okx,,,,,,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,,BTC,0.0481,3470.94,0xf1ac7014...,-39.78,,,
BTC,SHORT,3470.94,72161.0,0.0481,1773610673758,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,3190.15,72503.5,0.044,1773610670444,bybit,,,,,,,,,
BTC,SHORT,3189.84,72496.3,0.044,1773610670444,bybit,,,,,,,,,
BTC,SHORT,3044.99,72499.8,0.042,1773610670444,bybit,,,,,,,,,
BTC,SHORT,3033.03,72214.9,0.042,1773610420193,binance,binance,,,,,,,,
BTC,SHORT,3033.0258,72214.9,0.042,1773610420193,binance,,,,,,,LIMIT,71929.2,FILLED
BTC,SHORT,2675.25,72304.0,0.037,1773610446444,bybit,,,,,,,,,
BTC,SHORT,2623.66,71960.0,0.03646,1773610633802,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,2534.7,72420.0,0.035,1773610669944,bybit,,,,,,,,,
,short,,72257.0,,2026-03-15T21:37:49.880000,hyperliquid,,BTC,0.03288,2375.81,0x46b012df...,-34.16,,,
BTC,SHORT,2375.81,72257.0,0.03288,1773610669880,hyperliquid,hyperliquid,,,,,,,,
,short,,72257.0,,2026-03-15T21:37:49.880000,hyperliquid,,BTC,0.03274,2365.69,0xf595121f...,-44.04,,,
BTC,SHORT,2365.69,72257.0,0.03274,1773610669880,hyperliquid,hyperliquid,,,,,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,,BTC,0.03269,2358.94,0x469a2301...,-27.13,,,
BTC,SHORT,2358.94,72161.0,0.03269,1773610673758,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,2316.0,72375.1,0.032,1773610669445,bybit,,,,,,,,,
,short,,72257.0,,2026-03-15T21:37:49.880000,hyperliquid,,BTC,0.03075,2221.9,0xa622b123...,-33.36,,,
BTC,SHORT,2221.9,72257.0,0.03075,1773610669880,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,2173.2,72439.9,0.03,1773610670444,bybit,,,,,,,,,
BTC,SHORT,2169.74,72324.6,0.03,1773610659945,bybit,,,,,,,,,
BTC,SHORT,2165.91,72196.9,3.0,1773610416691,okx,,,,,,,,,
,short,,72257.0,,2026-03-15T21:37:49.880000,hyperliquid,,BTC,0.02957,2136.64,0x7fce2dea...,-31.99,,,
BTC,SHORT,2136.64,72257.0,0.02957,1773610669880,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,2099.3,72389.7,0.029,1773610669445,bybit,,,,,,,,,
BTC,SHORT,2029.98,72499.2,0.028,1773610670444,bybit,,,,,,,,,
BTC,SHORT,1956.17,72450.8,0.027,1773610670444,bybit,,,,,,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,,BTC,0.0268,1933.91,0x24543897...,-23.1,,,
BTC,SHORT,1933.91,72161.0,0.0268,1773610673758,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,1884.94,72497.7,0.026,1773610669944,bybit,,,,,,,,,
BTC,SHORT,1810.65,72425.8,0.025,1773610669944,bybit,,,,,,,,,
BTC,SHORT,1808.97,72358.7,0.025,1773610669445,bybit,,,,,,,,,
BTC,SHORT,1667.81,72513.3,0.023,1773610671444,bybit,,,,,,,,,
BTC,SHORT,1667.54,72501.8,0.023,1773610670944,bybit,,,,,,,,,
,short,,72257.0,,2026-03-15T21:37:49.880000,hyperliquid,,BTC,0.0226,1633.01,0x626193b3...,-37.04,,,
BTC,SHORT,1633.01,72257.0,0.0226,1773610669880,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,1588.9214,72223.7,0.022,1773610445078,binance,,,,,,,LIMIT,71938.1,FILLED
BTC,SHORT,1588.92,72223.7,0.022,1773610445078,binance,binance,,,,,,,,
,short,,72257.0,,2026-03-15T21:37:49.880000,hyperliquid,,BTC,0.02106,1521.73,0xef8238f7...,-21.57,,,
BTC,SHORT,1521.73,72257.0,0.02106,1773610669880,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,1521.34,72444.8,0.021,1773610670444,bybit,,,,,,,,,
BTC,SHORT,1502.95,72257.0,0.0208,1773610669880,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,1450.3,72514.9,0.02,1773610671444,bybit,,,,,,,,,
BTC,SHORT,1444.62,72230.9,0.02,1773610456299,binance,binance,,,,,,,,
BTC,SHORT,1439.6,71980.0,0.02,1773610663739,hyperliquid,hyperliquid,,,,,,,,
BTC,SHORT,1375.89,72415.5,0.019,1773610669445,bybit,,,,,,,,,
BTC,SHORT,1305.05,72502.9,0.018,1773610669944,bybit,,,,,,,,,
BTC,SHORT,1185.74,72257.0,0.01641,1773610669880,hyperliquid,hyperliquid,,,,,,,,
