symbol,side,value,price,quantity,timestamp,order_type,avg_price,order_status,_exchange,exchange,coin,size,value_usd,address,pnl
BTC,LONG,57568.494,73617.0,0.782,1773636960722,LIMIT,73913.9,FILLED,binance,,,,,,
BTC,LONG,57568.49,73617.0,0.782,1773636960722,,,,binance,binance,,,,,
BTC,LONG,29905.69,73641.2,40.61,1773636957662,,,,okx,,,,,,
BTC,LONG,29709.72,73538.9,0.404,1773636976691,,,,binance,binance,,,,,
BTC,LONG,29709.7156,73538.9,0.404,1773636976691,LIMIT,73825.8,FILLED,binance,,,,,,
BTC,LONG,24744.07,73511.8,33.66,1773637019300,,,,okx,,,,,,
BTC,LONG,23568.12,73927.6,31.88,1773636958288,,,,okx,,,,,,
BTC,LONG,14476.56,73485.1,0.197,1773636974444,,,,bybit,,,,,,
BTC,LONG,9836.32,73515.1,13.38,1773636991844,,,,okx,,,,,,
BTC,LONG,9637.36,73567.6,0.131,1773636975636,,,,binance,binance,,,,,
BTC,LONG,9637.3556,73567.6,0.131,1773636975636,LIMIT,73828.7,FILLED,binance,,,,,,
BTC,LONG,8953.23,73689.1,12.15,1773636953809,,,,okx,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,,,,hyperliquid,,BTC,0.0861,6405.41,0xbc241ccf...,-121.14
BTC,LONG,5682.29,73700.3,7.71,1773636949646,,,,okx,,,,,,
BTC,LONG,4716.294400000001,73692.1,0.064,1773636954565,LIMIT,73961.7,FILLED,binance,,,,,,
BTC,LONG,4716.29,73692.1,0.064,1773636954565,,,,binance,binance,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,,,,hyperliquid,,BTC,0.05276,3925.08,0xd1a59e86...,-517.57
BTC,LONG,3731.37,73597.1,5.07,1773636964664,,,,okx,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,,,,hyperliquid,,BTC,0.0287,2135.14,0xc49cb604...,-19.32
BTC,LONG,1616.65,73484.3,0.022,1773637175246,,,,binance,binance,,,,,
BTC,LONG,1546.2405,73630.5,0.021,1773636959708,LIMIT,73907.8,FILLED,binance,,,,,,
BTC,LONG,1546.24,73630.5,0.021,1773636959708,,,,binance,binance,,,,,
BTC,LONG,1026.47,73846.6,1.39,1773636974090,,,,okx,,,,,,
BTC,LONG,974.78,73846.6,1.32,1773636973970,,,,okx,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,,,,hyperliquid,,BTC,0.01277,950.02,0xbbdb1acc...,-25.12
BTC,LONG,812.04,73822.1,1.1,1773636981328,,,,okx,,,,,,
BTC,LONG,768.33,73878.2,1.04,1773636966529,,,,okx,,,,,,
BTC,LONG,701.41,73832.2,0.95,1773636976761,,,,okx,,,,,,
BTC,LONG,293.55,73387.3,0.004,1773637219443,,,,bybit,bybit,,,,,
,long,,74364.0,,2026-03-16T04:55:05.098000,,,,hyperliquid,,BTC,0.00287,213.42,0x777e61dc...,8.56
BTC,LONG,110.63,73752.4,0.15,1773637218741,,,,okx,,,,,,
,short,,74395.0,,2026-03-16T04:55:01.939000,,,,hyperliquid,,BTC,0.0014,104.15,0xed45fe45...,-1.23
