symbol,side,value,price,quantity,timestamp,_exchange,coin,size,value_usd,address,pnl,exchange,order_type,avg_price,order_status
BTC,SHORT,2016272.71,72311.9,27.883,1773610669944,bybit,,,,,,,,,
BTC,SHORT,362354.5,72470.9,5.0,1773610670444,bybit,,,,,,,,,
BTC,SHORT,87227.42,72387.9,1.205,1773610669445,bybit,,,,,,,,,
,short,,72162.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,1.03917,74988.59,0x24543897...,-896.8,,,,
BTC,SHORT,74988.59,72162.0,1.03917,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,72418.6,72418.6,1.0,1773610669445,bybit,,,,,,,,,
BTC,SHORT,65520.46,72398.3,0.905,1773610669445,bybit,,,,,,,,,
BTC,SHORT,63126.19,71960.0,0.87724,1773610636339,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,54319.73,71960.0,0.75486,1773610633802,hyperliquid,,,,,,hyperliquid,,,
,short,,72153.0,,2026-03-15T21:39:13.069000,hyperliquid,BTC,0.70554,50906.83,0x24543897...,-602.53,,,,
BTC,SHORT,50906.83,72153.0,0.70554,1773610753069,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,49997.09,71960.0,0.69479,1773610636339,hyperliquid,,,,,,hyperliquid,,,
,short,,72169.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.69274,49994.35,0x24543897...,-602.68,,,,
BTC,SHORT,49994.35,72169.0,0.69274,1773610756476,hyperliquid,,,,,,hyperliquid,,,
,short,,72159.0,,2026-03-15T21:38:23.828000,hyperliquid,BTC,0.68935,49742.81,0x24543897...,-592.84,,,,
BTC,SHORT,49742.81,72159.0,0.68935,1773610703828,hyperliquid,,,,,,hyperliquid,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,BTC,0.681,49141.64,0x24543897...,-587.02,,,,
BTC,SHORT,49141.64,72161.0,0.681,1773610673758,hyperliquid,,,,,,hyperliquid,,,
,short,,72160.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.52075,37577.32,0x24543897...,-448.37,,,,
BTC,SHORT,37577.32,72160.0,0.52075,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,36254.85,72509.7,0.5,1773610671444,bybit,,,,,,,,,
,short,,72153.0,,2026-03-15T21:39:13.069000,hyperliquid,BTC,0.49956,36044.75,0x24543897...,-426.62,,,,
BTC,SHORT,36044.75,72153.0,0.49956,1773610753069,hyperliquid,,,,,,hyperliquid,,,
,short,,72159.0,,2026-03-15T21:38:23.828000,hyperliquid,BTC,0.48497,34994.95,0x24543897...,-417.07,,,,
BTC,SHORT,34994.95,72159.0,0.48497,1773610703828,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,34441.65,72356.4,0.476,1773610669445,bybit,,,,,,,,,
,short,,72170.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.47394,34204.25,0x24543897...,-412.8,,,,
BTC,SHORT,34204.25,72170.0,0.47394,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,33750.68,71960.0,0.46902,1773610636339,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,30005.88,71960.0,0.41698,1773610636339,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,28541.52,72257.0,0.395,1773610669880,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,27248.98,72470.7,0.376,1773610670444,bybit,,,,,,,,,
BTC,SHORT,23635.62,71983.0,0.32835,1773610663739,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,23447.4,72257.0,0.3245,1773610669880,hyperliquid,,,,,,hyperliquid,,,
,short,,72167.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.3158,22790.34,0x24543897...,-274.11,,,,
BTC,SHORT,22790.34,72167.0,0.3158,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC-USD,SHORT,21440.0,72184.0,214.4,1773610671739,okx,,,,,,,,,
BTC,SHORT,20871.43,72257.0,0.28885,1773610669880,hyperliquid,,,,,,hyperliquid,,,
,short,,72159.0,,2026-03-15T21:38:23.828000,hyperliquid,BTC,0.25678,18528.99,0x24543897...,-220.83,,,,
BTC,SHORT,18528.99,72159.0,0.25678,1773610703828,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,18165.1,72370.9,0.251,1773610669445,bybit,,,,,,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,BTC,0.23444,16917.42,0x24543897...,-202.09,,,,
BTC,SHORT,16917.42,72161.0,0.23444,1773610673758,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,16788.17,72362.8,0.232,1773610669944,bybit,,,,,,,,,
BTC,SHORT,16660.35,72436.3,0.23,1773610670444,bybit,,,,,,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,BTC,0.22382,16151.08,0x24543897...,-192.93,,,,
BTC,SHORT,16151.08,72161.0,0.22382,1773610673758,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,16142.52,72388.0,0.223,1773610669445,bybit,,,,,,,,,
,short,,72160.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.21842,15761.19,0x24543897...,-188.06,,,,
BTC,SHORT,15761.19,72160.0,0.21842,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,14999.34,71960.0,0.20844,1773610636339,hyperliquid,,,,,,hyperliquid,,,
,short,,72166.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.20783,14998.26,0x24543897...,-180.19,,,,
BTC,SHORT,14998.26,72166.0,0.20783,1773610756476,hyperliquid,,,,,,hyperliquid,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,BTC,0.20745,14969.8,0x24543897...,-178.82,,,,
BTC,SHORT,14969.8,72161.0,0.20745,1773610673758,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,14958.57,72263.6,0.207,1773610658467,binance,,,,,,binance,,,
BTC,SHORT,14958.565200000001,72263.6,0.207,1773610658467,binance,,,,,,,LIMIT,71991.3,FILLED
BTC,SHORT,14478.26,72391.3,0.2,1773610670444,bybit,,,,,,,,,
BTC,SHORT,13980.13,72435.9,0.193,1773610670944,bybit,,,,,,,,,
BTC,SHORT,13849.66,72511.3,0.191,1773610671944,bybit,,,,,,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,BTC,0.18884,13626.88,0x24543897...,-162.78,,,,
BTC,SHORT,13626.88,72161.0,0.18884,1773610673758,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,12894.51,71960.0,0.17919,1773610636339,hyperliquid,,,,,,hyperliquid,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,BTC,0.15988,11537.1,0x24543897...,-137.82,,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,BTC,0.15988,11537.1,0x24543897...,-137.82,,,,
BTC,SHORT,11537.1,72161.0,0.15988,1773610673758,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,11537.1,72161.0,0.15988,1773610673758,hyperliquid,,,,,,hyperliquid,,,
BTC-USD,SHORT,11510.0,72176.8,115.1,1773610670978,okx,,,,,,,,,
,short,,72160.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.15177,10951.72,0x24543897...,-130.67,,,,
BTC,SHORT,10951.72,72160.0,0.15177,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,10345.03,72257.0,0.14317,1773610669880,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,10257.682399999998,72237.2,0.142,1773610632711,binance,,,,,,,LIMIT,71953.3,FILLED
BTC,SHORT,10257.68,72237.2,0.142,1773610632711,binance,,,,,,binance,,,
BTC,SHORT,9696.44,72361.5,0.134,1773610669944,bybit,,,,,,,,,
BTC,SHORT,9626.99,72383.4,0.133,1773610670444,bybit,,,,,,,,,
,short,,72160.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.12661,9136.18,0x24543897...,-109.01,,,,
BTC,SHORT,9136.18,72160.0,0.12661,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,8173.82,72334.7,0.113,1773610659444,bybit,,,,,,,,,
BTC,SHORT,8100.46,72325.5,0.112,1773610659945,bybit,,,,,,,,,
,short,,72160.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.10765,7768.02,0x24543897...,-92.69,,,,
BTC,SHORT,7768.02,72160.0,0.10765,1773610756476,hyperliquid,,,,,,hyperliquid,,,
,short,,72160.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.10627,7668.44,0x24543897...,-91.5,,,,
,short,,72160.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.10627,7668.44,0x24543897...,-91.5,,,,
BTC,SHORT,7668.44,72160.0,0.10627,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,7668.44,72160.0,0.10627,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,7491.76,71960.0,0.10411,1773610636339,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,7250.65,72506.5,0.1,1773610670944,bybit,,,,,,,,,
BTC,SHORT,6487.23,72257.0,0.08978,1773610669880,hyperliquid,,,,,,hyperliquid,,,
,short,,72161.0,,2026-03-15T21:37:53.758000,hyperliquid,BTC,0.08914,6432.43,0x6241d91f...,-75.41,,,,
BTC,SHORT,6432.43,72161.0,0.08914,1773610673758,hyperliquid,,,,,,hyperliquid,,,
,short,,72160.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.08789,6342.14,0x24543897...,-75.67,,,,
BTC,SHORT,6342.14,72160.0,0.08789,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,6088.64,72483.8,0.084,1773610670944,bybit,,,,,,,,,
BTC,SHORT,6087.08,72465.21,0.084,1773610672675,binance,,,,,,binance,,,
BTC,SHORT,6087.077640000001,72465.21,0.084,1773610672675,binance,,,,,,,LIMIT,72172.6,FILLED
BTC,SHORT,5791.86,72398.2,0.08,1773610669445,bybit,,,,,,,,,
,short,,72160.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.08,5772.8,0x24543897...,-68.88,,,,
,short,,72160.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.08,5772.8,0x24543897...,-68.88,,,,
BTC,SHORT,5772.8,72160.0,0.08,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,5772.8,72160.0,0.08,1773610756476,hyperliquid,,,,,,hyperliquid,,,
,short,,72167.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.07796,5626.14,0x24543897...,-67.67,,,,
BTC,SHORT,5626.14,72167.0,0.07796,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,5580.06,72468.3,0.077,1773610670444,bybit,,,,,,,,,
BTC,SHORT,5507.43,72257.0,0.07622,1773610669880,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,5504.06,72421.9,0.076,1773610669445,bybit,,,,,,,,,
,short,,72160.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.07577,5467.56,0x24543897...,-65.24,,,,
BTC,SHORT,5467.56,72160.0,0.07577,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,5404.82,72257.0,0.0748,1773610669880,hyperliquid,,,,,,hyperliquid,,,
,short,,72160.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.07353,5305.92,0x24543897...,-63.31,,,,
BTC,SHORT,5305.92,72160.0,0.07353,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,5075.76,72510.9,0.07,1773610670944,bybit,,,,,,,,,
BTC,SHORT,5057.654,72252.2,0.07,1773610643435,binance,,,,,,,LIMIT,71959.5,FILLED
BTC,SHORT,5057.65,72252.2,0.07,1773610643435,binance,,,,,,binance,,,
,short,,72170.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.06929,5000.66,0x24543897...,-60.35,,,,
BTC,SHORT,5000.66,72170.0,0.06929,1773610756476,hyperliquid,,,,,,hyperliquid,,,
,short,,72166.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.06929,5000.38,0x24543897...,-60.07,,,,
BTC,SHORT,5000.38,72166.0,0.06929,1773610756476,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,4981.07,71960.0,0.06922,1773610636339,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,4832.11,71960.0,0.06715,1773610633802,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,4810.15,72257.0,0.06657,1773610669880,hyperliquid,,,,,,hyperliquid,,,
BTC,SHORT,4780.93,72438.4,0.066,1773610670444,bybit,,,,,,,,,
,short,,72165.0,,2026-03-15T21:39:16.476000,hyperliquid,BTC,0.066,4762.89,0x24543897...,-57.16,,,,
