exchange,symbol,side,value,price,quantity,timestamp,_exchange,order_type,avg_price,order_status
binance,BTC,SHORT,50301.07,74081.1,0.679,1773636423471,binance,,,
,BTC,SHORT,50301.066900000005,74081.1,0.679,1773636423471,binance,LIMIT,73795.4,FILLED
binance,BTC,SHORT,37565.44,74240.0,0.506,1773636591218,binance,,,
hyperliquid,BTC,LONG,13084.42,73819.0,0.17725,1773636435309,hyperliquid,,,
binance,BTC,SHORT,4748.58,74196.6,0.064,1773636550542,binance,,,
,BTC,SHORT,3938.85,74318.0,0.053,1773636591443,bybit,,,
,BTC,SHORT,3195.77,74320.2,0.043,1773636591443,bybit,,,
binance,BTC,SHORT,2968.86,74221.4,0.04,1773636588313,binance,,,
,BTC,SHORT,2147.7110000000002,74059.0,0.029,1773636389964,binance,LIMIT,73775.9,FILLED
binance,BTC,SHORT,2147.71,74059.0,0.029,1773636389964,binance,,,
,BTC,SHORT,1710.1,74352.1,0.023,1773636603943,bybit,,,
binance,BTC,SHORT,1186.21,74138.4,0.016,1773636537291,binance,,,
binance,BTC,SHORT,1112.63,74175.5,0.015,1773636542433,binance,,,
hyperliquid,BTC,LONG,969.22,73817.0,0.01313,1773636435309,hyperliquid,,,
binance,BTC,SHORT,816.35,74213.5,0.011,1773636587123,binance,,,
binance,BTC,SHORT,741.07,74106.5,0.01,1773636429186,binance,,,
,BTC,SHORT,741.065,74106.5,0.01,1773636429186,binance,LIMIT,73818.8,FILLED
hyperliquid,BTC,LONG,699.79,73818.0,0.00948,1773636435309,hyperliquid,,,
,BTC,SHORT,636.44,74004.5,0.86,1773636604705,okx,,,
,BTC,SHORT,555.16,74021.3,0.75,1773636611688,okx,,,
,BTC,SHORT,520.4,74343.4,0.007,1773636597944,bybit,,,
binance,BTC,SHORT,445.4,74233.2,0.006,1773636589335,binance,,,
,BTC,SHORT,408.67,74304.5,0.55,1773636610522,okx,,,
binance,BTC,SHORT,222.37,74123.1,0.003,1773636534588,binance,,,
binance,BTC,SHORT,148.5,74251.3,0.002,1773636592400,binance,,,
binance,BTC,SHORT,148.43,74216.5,0.002,1773636582085,binance,,,
binance,BTC,SHORT,148.29,74144.3,0.002,1773636541071,binance,,,
binance,BTC,SHORT,148.08,74039.7,0.002,1773636387222,binance,,,
,BTC,SHORT,148.0794,74039.7,0.002,1773636387222,binance,LIMIT,73759.4,FILLED
,BTC,SHORT,133.71,74280.6,0.18,1773636603293,okx,,,
,BTC,SHORT,14.86,74318.0,0.02,1773636613606,okx,,,
hyperliquid,BTC,LONG,10.33,73817.0,0.00014,1773636435309,hyperliquid,,,
